var,i,h,n,index_extra,value,lb,ub
x,apples,H3,,,0.0,0.0,15.0
x,apples,H2,,,5.0,0.0,9.0
x,apples,H1,,,3.0,0.0,3.0
x,rice,H3,,,8.0,0.0,15.0
x,rice,H2,,,9.0,0.0,9.0
x,rice,H1,,,3.0,0.0,3.0
x,milk,H3,,,0.0,0.0,15.0
x,milk,H2,,,7.0,0.0,9.0
x,milk,H1,,,3.0,0.0,3.0
x,beans,H3,,,8.0,0.0,15.0
x,beans,H2,,,2.0,0.0,9.0
x,beans,H1,,,2.0,0.0,3.0
u,cal,H3,,,0.5810526315789474,0.0,1.0
u,cal,H2,,,0.768,0.0,1.0
u,cal,H1,,,0.9942857142857142,0.0,1.0
u,calc,H3,,,0.028000000000000004,0.0,1.0
u,calc,H2,,,0.36760000000000004,0.0,1.0
u,calc,H1,,,0.4090000000000001,0.0,1.0
u,prot,H3,,,1.0,0.0,1.0
u,prot,H2,,,1.0,0.0,1.0
u,prot,H1,,,1.0,0.0,1.0
y,apples,,,,0.0,0,
y,rice,,,,0.0,0,
y,milk,,,,0.0,0,
y,beans,,,,0.0,0,
dpos,apples,H3,,,,0,
dpos,apples,H2,,,,0,
dpos,apples,H1,,,,0,
dpos,rice,H3,,,,0,
dpos,rice,H2,,,,0,
dpos,rice,H1,,,,0,
dpos,milk,H3,,,,0,
dpos,milk,H2,,,,0,
dpos,milk,H1,,,,0,
dpos,beans,H3,,,,0,
dpos,beans,H2,,,,0,
dpos,beans,H1,,,,0,
dneg,apples,H3,,,,0,
dneg,apples,H2,,,,0,
dneg,apples,H1,,,,0,
dneg,rice,H3,,,,0,
dneg,rice,H2,,,,0,
dneg,rice,H1,,,,0,
dneg,milk,H3,,,,0,
dneg,milk,H2,,,,0,
dneg,milk,H1,,,,0,
dneg,beans,H3,,,,0,
dneg,beans,H2,,,,0,
dneg,beans,H1,,,,0,
epsilon,,,,,,0,
