var,i,h,n,index_extra,value,lb,ub
x,apples,H1,,,1.0,0.0,3.0
x,apples,H3,,,5.0,0.0,15.0
x,apples,H2,,,3.0,0.0,9.0
x,beans,H1,,,1.0,0.0,3.0
x,beans,H3,,,7.0,0.0,15.0
x,beans,H2,,,4.0,0.0,9.0
x,milk,H1,,,3.0,0.0,3.0
x,milk,H3,,,10.0,0.0,15.0
x,milk,H2,,,6.0,0.0,9.0
x,rice,H1,,,2.0,0.0,3.0
x,rice,H3,,,11.0,0.0,15.0
x,rice,H2,,,7.0,0.0,9.0
u,cal,H1,,,0.3212000000000001,0.0,1.0
u,cal,H3,,,0.3212000000000001,0.0,1.0
u,cal,H2,,,0.6424000000000004,0.0,1.0
u,prot,H1,,,0.3212000000000001,0.0,1.0
u,prot,H3,,,0.3212000000000001,0.0,1.0
u,prot,H2,,,0.3212000000000001,0.0,1.0
u,calc,H1,,,0.3212000000000001,0.0,1.0
u,calc,H3,,,0.32120000000000004,0.0,1.0
u,calc,H2,,,0.32120000000000004,0.0,1.0
y,apples,,,,1.0,0,
y,beans,,,,0.0,0,
y,milk,,,,9.0,0,
y,rice,,,,0.0,0,
y_active,apples,,,,1.0,0,1
y_active,beans,,,,1.0,0,1
y_active,milk,,,,1.0,0,1
y_active,rice,,,,1.0,0,1
dpos,apples,H1,,,0.0,0,
dpos,apples,H3,,,0.0,0,
dpos,apples,H2,,,0.45000000149999997,0,
dpos,beans,H1,,,0.0,0,
dpos,beans,H3,,,0.33333332800000015,0,
dpos,beans,H2,,,0.26666667199999994,0,
dpos,milk,H1,,,0.888888891,0,
dpos,milk,H3,,,0.0,0,
dpos,milk,H2,,,0.0,0,
dpos,rice,H1,,,0.0,0,
dpos,rice,H3,,,0.0,0,
dpos,rice,H2,,,1.0000000000000004,0,
dneg,apples,H1,,,-1.000000013351432e-09,0,
dneg,apples,H3,,,3.999999553805367e-09,0,
dneg,apples,H2,,,0.44999999850000005,0,
dneg,beans,H1,,,0.33333333200000004,0,
dneg,beans,H3,,,0.0,0,
dneg,beans,H2,,,0.26666666800000005,0,
dneg,milk,H1,,,0.0,0,
dneg,milk,H3,,,0.5555555639999987,0,
dneg,milk,H2,,,0.3333333270000005,0,
dneg,rice,H1,,,0.22222221999999991,0,
dneg,rice,H3,,,0.11111111999999856,0,
dneg,rice,H2,,,0.6666666600000011,0,
epsilon,,,,,,0,
