var,i,h,n,index_extra,value,lb,ub
x,rice,H2,,,20.0,0.0,20.0
x,rice,H1,,,20.0,0.0,20.0
x,beans,H2,,,15.0,0.0,15.0
x,beans,H1,,,15.0,0.0,15.0
x,lentils,H2,,,10.0,0.0,10.0
x,lentils,H1,,,10.0,0.0,10.0
u,prot,H2,,,1.0,0.0,1.0
u,prot,H1,,,1.0,0.0,1.0
u,cal,H2,,,1.0,0.0,1.0
u,cal,H1,,,1.0,0.0,1.0
y,rice,,,,0.0,0,
y,beans,,,,0.0,0,
y,lentils,,,,0.0,0,
y_active,rice,,,,0.0,0,1
y_active,beans,,,,0.0,0,1
y_active,lentils,,,,0.0,0,1
dpos,rice,H2,,,4.0,0,
dpos,rice,H1,,,0.0,0,
dpos,beans,H2,,,3.0,0,
dpos,beans,H1,,,0.0,0,
dpos,lentils,H2,,,2.0,0,
dpos,lentils,H1,,,0.0,0,
dneg,rice,H2,,,0.0,0,
dneg,rice,H1,,,4.0,0,
dneg,beans,H2,,,0.0,0,
dneg,beans,H1,,,3.0,0,
dneg,lentils,H2,,,0.0,0,
dneg,lentils,H1,,,2.0,0,
epsilon,,,,,0.0,0,
