var,i,h,n,index_extra,value,lb,ub
x,maize,A2,,,15.0,0.0,18.0
x,maize,A1,,,15.0,0.0,18.0
x,oil,A2,,,8.0,0.0,8.0
x,oil,A1,,,8.0,0.0,8.0
x,peas,A2,,,13.0,0.0,15.0
x,peas,A1,,,12.0,0.0,15.0
u,cal,A2,,,1.0,0.0,1.0
u,cal,A1,,,1.0,0.0,1.0
u,prot,A2,,,1.0,0.0,1.0
u,prot,A1,,,1.0,0.0,1.0
y,maize,,,,0.0,0,
y,oil,,,,1.0,0,
y,peas,,,,0.0,0,
y_active,maize,,,,0.0,0,1
y_active,oil,,,,1.0,0,1
y_active,peas,,,,0.0,0,1
dpos,maize,A2,,,0.0,0,
dpos,maize,A1,,,0.0,0,
dpos,oil,A2,,,0.0,0,
dpos,oil,A1,,,0.0,0,
dpos,peas,A2,,,0.5,0,
dpos,peas,A1,,,0.0,0,
dneg,maize,A2,,,-0.0,0,
dneg,maize,A1,,,-0.0,0,
dneg,oil,A2,,,-0.0,0,
dneg,oil,A1,,,-0.0,0,
dneg,peas,A2,,,-0.0,0,
dneg,peas,A1,,,0.5,0,
epsilon,,,,,0.0,0,
