var,i,h,n,index_extra,value,lb,ub
x,beans,H1,,,1.0,0.0,3.0
x,beans,H3,,,6.0,0.0,15.0
x,beans,H2,,,4.0,0.0,9.0
x,apples,H1,,,0.9999999999999999,0.0,3.0
x,apples,H3,,,5.0,0.0,15.0
x,apples,H2,,,3.0,0.0,9.0
x,milk,H1,,,3.0,0.0,3.0
x,milk,H3,,,10.0,0.0,15.0
x,milk,H2,,,6.0,0.0,9.0
x,rice,H1,,,2.0,0.0,3.0
x,rice,H3,,,11.0,0.0,15.0
x,rice,H2,,,7.0,0.0,9.0
u,prot,H1,,,0.32120000000000054,0.0,1.0
u,prot,H3,,,0.32120000000000065,0.0,1.0
u,prot,H2,,,0.32120000000000054,0.0,1.0
u,cal,H1,,,0.32120000000000054,0.0,1.0
u,cal,H3,,,0.6423999999999996,0.0,1.0
u,cal,H2,,,0.32120000000000054,0.0,1.0
u,calc,H1,,,0.32120000000000054,0.0,1.0
u,calc,H3,,,0.32120000000000054,0.0,1.0
u,calc,H2,,,0.3212000000000013,0.0,1.0
y,beans,,,,0.0,0,
y,apples,,,,1.0,0,
y,milk,,,,9.0,0,
y,rice,,,,6.994405062132891e-12,0,
y_active,beans,,,,0.0,0,1
y_active,apples,,,,1.0,0,1
y_active,milk,,,,1.0,0,1
y_active,rice,,,,2.5474240364289026e-09,0,1
dpos,beans,H1,,,0.0,0,
dpos,beans,H3,,,-9.089025900977149e-14,0,
dpos,beans,H2,,,-0.0,0,
dpos,apples,H1,,,9.999739231103533e-10,0,
dpos,apples,H3,,,0.0,0,
dpos,apples,H2,,,2.999999804131903e-09,0,
dpos,milk,H1,,,0.8888888910000001,0,
dpos,milk,H3,,,0.0,0,
dpos,milk,H2,,,-0.0,0,
dpos,rice,H1,,,0.0,0,
dpos,rice,H3,,,-0.0,0,
dpos,rice,H2,,,0.33333333999766784,0,
dneg,beans,H1,,,0.33333333200000004,0,
dneg,beans,H3,,,0.6666666720000212,0,
dneg,beans,H2,,,-3.9999888063116015e-09,0,
dneg,apples,H1,,,0.0,0,
dneg,apples,H3,,,3.999999553805367e-09,0,
dneg,apples,H2,,,0.0,0,
dneg,milk,H1,,,-0.0,0,
dneg,milk,H3,,,0.5555555639999987,0,
dneg,milk,H2,,,0.3333333270000005,0,
dneg,rice,H1,,,0.2222222200038524,0,
dneg,rice,H3,,,0.11111111999999858,0,
dneg,rice,H2,,,-0.0,0,
epsilon,,,,,,0,
