var,i,h,n,index_extra,value,lb,ub
x,milk,H2,,,3.0,0.0,9.0
x,milk,H1,,,1.0,0.0,5.0
x,milk,H3,,,6.0,0.0,15.0
x,beans,H2,,,6.0,0.0,9.0
x,beans,H1,,,2.0,0.0,5.0
x,beans,H3,,,11.0,0.0,15.0
x,apples,H2,,,3.0,0.0,9.0
x,apples,H1,,,1.0,0.0,5.0
x,apples,H3,,,5.0,0.0,15.0
x,rice,H2,,,7.0,0.0,9.0
x,rice,H1,,,2.0,0.0,5.0
x,rice,H3,,,11.0,0.0,15.0
u,prot,H2,,,1.0,0.0,1.0
u,prot,H1,,,1.0,0.0,1.0
u,prot,H3,,,1.0,0.0,1.0
u,cal,H2,,,0.808,0.0,1.0
u,cal,H1,,,0.7123809523809523,0.0,1.0
u,cal,H3,,,0.866736842105263,0.0,1.0
u,calc,H2,,,0.186,0.0,1.0
u,calc,H1,,,0.15400000000000003,0.0,1.0
u,calc,H3,,,0.22600000000000003,0.0,1.0
y,milk,,,,0.0,0,
y,beans,,,,7.0,0,
y,apples,,,,1.0000000000000004,0,
y,rice,,,,0.0,0,
y_active,milk,,,,0.0,0,1
y_active,beans,,,,1.0,0,1
y_active,apples,,,,1.0,0,1
y_active,rice,,,,0.0,0,1
dpos,milk,H2,,,0.0,0,
dpos,milk,H1,,,0.0,0,
dpos,milk,H3,,,0.44444444444444464,0,
dpos,beans,H2,,,0.0,0,
dpos,beans,H1,,,0.0,0,
dpos,beans,H3,,,0.44444444444444436,0,
dpos,apples,H2,,,0.0,0,
dpos,apples,H1,,,0.0,0,
dpos,apples,H3,,,-0.0,0,
dpos,rice,H2,,,0.3333333333333339,0,
dpos,rice,H1,,,0.0,0,
dpos,rice,H3,,,0.0,0,
dneg,milk,H2,,,0.33333333333333304,0,
dneg,milk,H1,,,0.11111111111111116,0,
dneg,milk,H3,,,0.0,0,
dneg,beans,H2,,,0.33333333333333304,0,
dneg,beans,H1,,,0.11111111111111094,0,
dneg,beans,H3,,,6.106226635438361e-16,0,
dneg,apples,H2,,,-0.0,0,
dneg,apples,H1,,,-0.0,0,
dneg,apples,H3,,,0.0,0,
dneg,rice,H2,,,0.0,0,
dneg,rice,H1,,,0.22222222222222232,0,
dneg,rice,H3,,,0.11111111111111072,0,
epsilon,,,,,0.0,0,
