var,i,h,n,index_extra,value,lb,ub
x,apples,H2,,,5.0,0.0,9.0
x,apples,H1,,,1.0,0.0,5.0
x,apples,H3,,,2.0,0.0,15.0
x,rice,H2,,,9.0,0.0,9.0
x,rice,H1,,,4.0,0.0,5.0
x,rice,H3,,,7.0,0.0,15.0
x,milk,H2,,,9.0,0.0,9.0
x,milk,H1,,,4.0,0.0,5.0
x,milk,H3,,,6.0,0.0,15.0
x,beans,H2,,,5.0,0.0,9.0
x,beans,H1,,,1.0,0.0,5.0
x,beans,H3,,,7.0,0.0,15.0
u,cal,H2,,,0.9543333333333334,0.0,1.0
u,cal,H1,,,0.9895238095238096,0.0,1.0
u,cal,H3,,,0.5597894736842106,0.0,1.0
u,calc,H2,,,0.4768,0.0,1.0
u,calc,H1,,,0.509,0.0,1.0
u,calc,H3,,,0.20750000000000002,0.0,1.0
u,prot,H2,,,1.0,0.0,1.0
u,prot,H1,,,1.0,0.0,1.0
u,prot,H3,,,0.9827272727272728,0.0,1.0
y,apples,,,,0.0,0,
y,rice,,,,0.0,0,
y,milk,,,,9.0,0,
y,beans,,,,1.0,0,
y_active,apples,,,,0.0,0,1
y_active,rice,,,,0.0,0,1
y_active,milk,,,,1.0,0,1
y_active,beans,,,,1.0,0,1
dpos,apples,H2,,,2.3333333333333335,0,
dpos,apples,H1,,,0.11111111111111116,0,
dpos,apples,H3,,,0.0,0,
dpos,rice,H2,,,2.333333333333334,0,
dpos,rice,H1,,,1.7777777777777777,0,
dpos,rice,H3,,,0.0,0,
dpos,milk,H2,,,2.666666666666667,0,
dpos,milk,H1,,,1.8888888888888888,0,
dpos,milk,H3,,,0.0,0,
dpos,beans,H2,,,0.6666666666666669,0,
dpos,beans,H1,,,0.0,0,
dpos,beans,H3,,,0.0,0,
dneg,apples,H2,,,-0.0,0,
dneg,apples,H1,,,0.0,0,
dneg,apples,H3,,,2.4444444444444446,0,
dneg,rice,H2,,,0.0,0,
dneg,rice,H1,,,-0.0,0,
dneg,rice,H3,,,4.111111111111111,0,
dneg,milk,H2,,,0.0,0,
dneg,milk,H1,,,-0.0,0,
dneg,milk,H3,,,4.555555555555555,0,
dneg,beans,H2,,,-0.0,0,
dneg,beans,H1,,,0.4444444444444444,0,
dneg,beans,H3,,,0.22222222222222232,0,
epsilon,,,,,0.0,0,
