var,i,h,n,index_extra,value,lb,ub
x,beans,H3,,,10.0,0.0,15.0
x,beans,H2,,,6.0,0.0,9.0
x,beans,H1,,,2.0,0.0,5.0
x,rice,H3,,,11.0,0.0,15.0
x,rice,H2,,,6.0,0.0,9.0
x,rice,H1,,,2.0,0.0,5.0
x,milk,H3,,,5.0,0.0,15.0
x,milk,H2,,,3.0,0.0,9.0
x,milk,H1,,,1.0,0.0,5.0
x,apples,H3,,,5.0,0.0,15.0
x,apples,H2,,,3.0,0.0,9.0
x,apples,H1,,,1.0,0.0,5.0
u,cal,H3,,,0.15400000000000003,0.0,1.0
u,cal,H2,,,0.15400000000000005,0.0,1.0
u,cal,H1,,,0.15400000000000003,0.0,1.0
u,prot,H3,,,0.154,0.0,1.0
u,prot,H2,,,0.15400000000000003,0.0,1.0
u,prot,H1,,,0.3079999999999999,0.0,1.0
u,calc,H3,,,0.15400000000000008,0.0,1.0
u,calc,H2,,,0.154,0.0,1.0
u,calc,H1,,,0.15400000000000003,0.0,1.0
y,beans,,,,6.0,0,
y,rice,,,,0.0,0,
y,milk,,,,0.0,0,
y,apples,,,,1.0,0,
y_active,beans,,,,1.0,0,1
y_active,rice,,,,0.0,0,1
y_active,milk,,,,0.0,0,1
y_active,apples,,,,1.0,0,1
dpos,beans,H3,,,0.0,0,
dpos,beans,H2,,,0.0,0,
dpos,beans,H1,,,1.1102230246251565e-16,0,
dpos,rice,H3,,,0.0,0,
dpos,rice,H2,,,0.0,0,
dpos,rice,H1,,,0.0,0,
dpos,milk,H3,,,0.0,0,
dpos,milk,H2,,,0.0,0,
dpos,milk,H1,,,0.0,0,
dpos,apples,H3,,,0.0,0,
dpos,apples,H2,,,0.0,0,
dpos,apples,H1,,,0.0,0,
dneg,beans,H3,,,2.220446049250313e-16,0,
dneg,beans,H2,,,0.0,0,
dneg,beans,H1,,,0.0,0,
dneg,rice,H3,,,0.11111111111111072,0,
dneg,rice,H2,,,0.6666666666666661,0,
dneg,rice,H1,,,0.22222222222222232,0,
dneg,milk,H3,,,0.5555555555555556,0,
dneg,milk,H2,,,0.3333333333333333,0,
dneg,milk,H1,,,0.11111111111111116,0,
dneg,apples,H3,,,2.220446049250313e-16,0,
dneg,apples,H2,,,-1.6653345369377348e-16,0,
dneg,apples,H1,,,-5.551115123125783e-17,0,
epsilon,,,,,0.0,0,
