var,i,h,n,index_extra,value,lb,ub
x,apples,H1,,,1.0,0.0,5.0
x,apples,H2,,,3.0,0.0,10.0
x,apples,H3,,,5.0,0.0,15.0
x,milk,H1,,,2.0,0.0,5.0
x,milk,H2,,,6.0,0.0,10.0
x,milk,H3,,,10.0,0.0,15.0
x,beans,H1,,,1.0,0.0,5.0
x,beans,H2,,,4.0,0.0,10.0
x,beans,H3,,,7.0,0.0,15.0
x,rice,H1,,,2.0,0.0,5.0
x,rice,H2,,,7.0,0.0,10.0
x,rice,H3,,,12.0,0.0,15.0
u,cal,H1,,,0.2630000000000001,0.0,1.0
u,cal,H2,,,0.263,0.0,1.0
u,cal,H3,,,0.26299999999999996,0.0,1.0
u,calc,H1,,,0.263,0.0,1.0
u,calc,H2,,,0.263,0.0,1.0
u,calc,H3,,,0.33575000000000005,0.0,1.0
u,prot,H1,,,0.4532499999999997,0.0,1.0
u,prot,H2,,,0.263,0.0,1.0
u,prot,H3,,,0.263,0.0,1.0
y,apples,,,,1.0,0,
y,milk,,,,8.0,0,
y,beans,,,,0.0,0,
y,rice,,,,1.0,0,
y_active,apples,,,,1.0,0,1
y_active,milk,,,,1.0,0,1
y_active,beans,,,,0.0,0,1
y_active,rice,,,,1.0,0,1
dpos,apples,H1,,,0.0,0,
dpos,apples,H2,,,0.0,0,
dpos,apples,H3,,,0.0,0,
dpos,milk,H1,,,0.0,0,
dpos,milk,H2,,,0.0,0,
dpos,milk,H3,,,0.0,0,
dpos,beans,H1,,,0.0,0,
dpos,beans,H2,,,0.0,0,
dpos,beans,H3,,,0.33333333333333304,0,
dpos,rice,H1,,,0.0,0,
dpos,rice,H2,,,0.0,0,
dpos,rice,H3,,,0.33333333333333415,0,
dneg,apples,H1,,,-0.0,0,
dneg,apples,H2,,,-0.0,0,
dneg,apples,H3,,,-0.0,0,
dneg,milk,H1,,,-0.0,0,
dneg,milk,H2,,,-0.0,0,
dneg,milk,H3,,,-0.0,0,
dneg,beans,H1,,,0.33333333333333326,0,
dneg,beans,H2,,,-0.0,0,
dneg,beans,H3,,,0.0,0,
dneg,rice,H1,,,0.3333333333333334,0,
dneg,rice,H2,,,-0.0,0,
dneg,rice,H3,,,-0.0,0,
epsilon,,,,,0.0,0,
