var,i,h,n,index_extra,value,lb,ub
x,beans,H2,,,4.0,0.0,9.0
x,beans,H1,,,2.0,0.0,3.0
x,beans,H3,,,6.0,0.0,15.0
x,apples,H2,,,3.0,0.0,9.0
x,apples,H1,,,1.0,0.0,3.0
x,apples,H3,,,4.0,0.0,15.0
x,rice,H2,,,8.0,0.0,9.0
x,rice,H1,,,3.0,0.0,3.0
x,rice,H3,,,10.0,0.0,15.0
x,milk,H2,,,7.0,0.0,9.0
x,milk,H1,,,3.0,0.0,3.0
x,milk,H3,,,9.0,0.0,15.0
u,prot,H2,,,1.0,0.0,1.0
u,prot,H1,,,1.0,0.0,1.0
u,prot,H3,,,1.0,0.0,1.0
u,calc,H2,,,0.3704,0.0,1.0
u,calc,H1,,,0.397,0.0,1.0
u,calc,H3,,,0.3,0.0,1.0
u,cal,H2,,,0.8006666666666667,0.0,1.0
u,cal,H1,,,0.9447619047619048,0.0,1.0
u,cal,H3,,,0.6698947368421053,0.0,1.0
y,beans,,,,0.0,0,
y,apples,,,,-0.0,0,
y,rice,,,,0.9999999999999661,0,
y,milk,,,,9.0,0,
y_active,beans,,,,0.0,0,1
y_active,apples,,,,-0.0,0,1
y_active,rice,,,,1.0,0,1
y_active,milk,,,,1.0,0,1
dpos,beans,H2,,,0.0,0,
dpos,beans,H1,,,0.666666668,0,
dpos,beans,H3,,,0.0,0,
dpos,apples,H2,,,0.3333333359999999,0,
dpos,apples,H1,,,0.11111111200000001,0,
dpos,apples,H3,,,0.0,0,
dpos,rice,H2,,,1.0000000070000108,0,
dpos,rice,H1,,,0.6666666690000038,0,
dpos,rice,H3,,,0.0,0,
dpos,milk,H2,,,0.6666666729999994,0,
dpos,milk,H1,,,0.888888891,0,
dpos,milk,H3,,,0.0,0,
dneg,beans,H2,,,-3.999999886872274e-09,0,
dneg,beans,H1,,,0.0,0,
dneg,beans,H3,,,0.6666666719999998,0,
dneg,apples,H2,,,0.0,0,
dneg,apples,H1,,,0.0,0,
dneg,apples,H3,,,0.4444444479999996,0,
dneg,rice,H2,,,2.220446049250313e-16,0,
dneg,rice,H1,,,0.0,0,
dneg,rice,H3,,,1.6666666759999798,0,
dneg,milk,H2,,,-1.1102230246251565e-16,0,
dneg,milk,H1,,,0.0,0,
dneg,milk,H3,,,1.5555555639999987,0,
epsilon,,,,,0.4203025898078529,0,
